year_month,date,status,prod_total_volume,location,prod_volume
2020-09-01,2020-09-06,actual,52693480,mexico,39925907
2018-01-01,2018-01-28,actual,45299201,mexico,42505354
2019-07-01,2019-07-07,actual,51446909,mexico,21024383
2019-01-01,2019-01-13,actual,73115987,mexico,71889970
2019-11-01,2019-11-03,actual,53112275,mexico,51910206
2020-05-01,2020-05-24,actual,51932040,mexico,33372360
2018-11-01,2018-11-04,actual,15760324,mexico,13476914
2020-09-01,2020-09-20,actual,45986305,mexico,38249616
2020-02-01,2020-02-09,actual,29476898,mexico,26987593
2019-05-01,2019-05-19,actual,50595179,mexico,36977263
2018-08-01,2018-08-19,actual,56452066,mexico,34031913
2020-01-01,2020-01-12,actual,65307572,mexico,64809925
2020-04-01,2020-04-12,actual,24945091,mexico,21687715
2019-12-01,2019-12-29,actual,33408342,mexico,33185587
2018-10-01,2018-10-14,actual,43609892,mexico,39427297
2020-01-01,2020-01-26,actual,66647112,mexico,63774627
2020-04-01,2020-04-05,actual,24392863,mexico,16174674
2018-12-01,2018-12-23,actual,47448337,mexico,45341743
2020-01-01,2020-01-05,actual,32537444,mexico,32291182
2018-05-01,2018-05-13,actual,49634250,mexico,36478789
2019-03-01,2019-03-10,actual,55687317,mexico,54899303
2019-10-01,2019-10-20,actual,45213563,mexico,43524359
2020-03-01,2020-03-22,actual,54765620,mexico,46679412
2020-08-01,2020-08-02,actual,61589035,mexico,38468421
2018-12-01,2018-12-30,actual,33740596,mexico,31882788
2018-09-01,2018-09-02,actual,38516499,mexico,17927226
2018-09-01,2018-09-30,actual,39213471,mexico,29517339
2020-01-01,2020-01-19,actual,76375629,mexico,74498167
2018-02-01,2018-02-11,actual,39307402,mexico,36267559
2020-06-01,2020-06-07,actual,54322214,mexico,33956728
2020-08-01,2020-08-30,actual,48717827,mexico,34643071
2020-05-01,2020-05-10,actual,68814562,mexico,50608141
2020-09-01,2020-09-13,actual,50284383,mexico,41917507
2018-02-01,2018-02-25,actual,53018743,mexico,47987058
2020-03-01,2020-03-29,actual,36225538,mexico,27901876
2020-02-01,2020-02-23,actual,60175473,mexico,53720838
2019-05-01,2019-05-05,actual,37778586,mexico,29034816
2018-01-01,2018-01-21,actual,54698266,mexico,51339476
2019-09-01,2019-09-15,actual,51760427,mexico,47331012
2020-07-01,2020-07-12,actual,52258875,mexico,25273369
2019-12-01,2019-12-01,actual,49266022,mexico,48902153
2019-01-01,2019-01-06,actual,39644522,mexico,38533278
2019-04-01,2019-04-07,actual,66309565,mexico,58313868
2019-01-01,2019-01-20,actual,73262502,mexico,72545325
2020-12-01,2020-12-06,projection,52612612,mexico,52089383
2019-03-01,2019-03-17,actual,57661257,mexico,56500196
2019-06-01,2019-06-23,actual,43112741,mexico,12902910
2019-09-01,2019-09-22,actual,41138734,mexico,36676441
2020-05-01,2020-05-17,actual,54720342,mexico,38724426
2019-12-01,2019-12-22,actual,49600528,mexico,49422746
2020-07-01,2020-07-05,actual,55217288,mexico,26616471
2019-11-01,2019-11-17,actual,41304726,mexico,41214777
2020-04-01,2020-04-26,actual,70861471,mexico,53786674
2018-02-01,2018-02-18,actual,51204346,mexico,46939897
2018-07-01,2018-07-08,actual,54802659,mexico,34059160
2020-09-01,2020-09-27,actual,56022215,mexico,49431809
2020-10-01,2020-10-25,actual,55789244,mexico,52925105
2019-06-01,2019-06-16,actual,43165973,mexico,18987812
2018-04-01,2018-04-08,actual,57742874,mexico,46764604
2020-03-01,2020-03-01,actual,56195818,mexico,46410376
2020-12-01,2020-12-27,projection,38422754,mexico,38233248
2018-10-01,2018-10-07,actual,44622910,mexico,38216313
2018-10-01,2018-10-28,actual,43424770,mexico,40611763
2019-07-01,2019-07-21,actual,51585051,mexico,27328014
2019-11-01,2019-11-24,actual,39597532,mexico,39363186
2020-02-01,2020-02-16,actual,50713581,mexico,45456422
2018-05-01,2018-05-06,actual,43454036,mexico,29744685
2018-03-01,2018-03-04,actual,50628975,mexico,45765295
2019-06-01,2019-06-30,actual,38519597,mexico,8653058
2020-05-01,2020-05-03,actual,57343819,mexico,39463348
2020-12-01,2020-12-20,projection,50563073,mexico,50274359
2018-04-01,2018-04-29,actual,57879711,mexico,41406535
2019-09-01,2019-09-08,actual,44957024,mexico,40172513
2020-12-01,2020-12-13,projection,49965178,mexico,49544465
2018-08-01,2018-08-12,actual,56626601,mexico,34221295
2020-02-01,2020-02-02,actual,45414983,mexico,42710494
2018-11-01,2018-11-18,actual,44931673,mexico,41418523
2018-09-01,2018-09-16,actual,51398671,mexico,35153392
2019-02-01,2019-02-10,actual,39391270,mexico,38764278
2019-08-01,2019-08-04,actual,39624707,mexico,22270321
2018-07-01,2018-07-15,actual,52741471,mexico,27618124
2020-04-01,2020-04-19,actual,65731766,mexico,49706264
2018-03-01,2018-03-18,actual,51922869,mexico,47779482
2020-11-01,2020-11-29,projection,46408984,mexico,45797755
2019-09-01,2019-09-29,actual,56281822,mexico,52434131
2019-06-01,2019-06-02,actual,48758242,mexico,29686713
2020-08-01,2020-08-16,actual,45333672,mexico,28246903
2019-04-01,2019-04-14,actual,71757754,mexico,60654534
2020-08-01,2020-08-23,actual,54176904,mexico,39333180
2019-07-01,2019-07-14,actual,54169319,peru,17398633
2018-11-01,2018-11-11,actual,7175415,peru,0
2018-04-01,2018-04-15,actual,65017211,peru,0
2018-10-01,2018-10-21,actual,41484288,peru,0
2020-05-01,2020-05-31,actual,51667453,peru,4171879
2018-11-01,2018-11-25,actual,70104497,peru,0
2018-02-01,2018-02-04,actual,47371481,peru,0
2018-03-01,2018-03-11,actual,52057338,peru,0
2018-03-01,2018-03-25,actual,45807126,peru,0
2019-03-01,2019-03-03,actual,56315469,peru,0
2020-10-01,2020-10-04,actual,52210342,peru,0
2019-12-01,2019-12-15,actual,48427351,peru,0
2019-02-01,2019-02-03,actual,45231823,peru,0
2018-07-01,2018-07-29,actual,49443206,peru,16879405
2018-05-01,2018-05-20,actual,54804644,peru,284446
2019-04-01,2019-04-28,actual,43710990,peru,805931
2020-06-01,2020-06-14,actual,64385710,peru,11425260
2019-05-01,2019-05-12,actual,45314468,peru,1754085
2019-09-01,2019-09-01,actual,37090495,peru,3365948
2019-03-01,2019-03-24,actual,47860338,peru,0
2019-08-01,2019-08-11,actual,30887574,peru,7490420
2018-06-01,2018-06-17,actual,50646896,peru,6868495
2018-07-01,2018-07-22,actual,43482853,peru,12088968
2019-11-01,2019-11-10,actual,43217649,peru,0
2019-04-01,2019-04-21,actual,41226066,peru,189631
2018-06-01,2018-06-10,actual,54216347,peru,5580178
2018-01-01,2018-01-07,actual,45670156,peru,0
2019-08-01,2019-08-25,actual,48325702,peru,3745210
2018-05-01,2018-05-27,actual,58216425,peru,1996296
2020-07-01,2020-07-19,actual,55528282,peru,16023808
2019-10-01,2019-10-06,actual,48828843,peru,0
2020-10-01,2020-10-11,actual,56934734,peru,0
2018-04-01,2018-04-22,actual,66889496,peru,0
2018-04-01,2018-04-01,actual,39158603,peru,0
2018-12-01,2018-12-09,actual,55009729,peru,0
2018-09-01,2018-09-23,actual,49322205,peru,3892173
2019-12-01,2019-12-08,actual,55662831,peru,0
2020-11-01,2020-11-08,actual,42783020,peru,0
2019-07-01,2019-07-28,actual,53521551,peru,14648985
2019-05-01,2019-05-26,actual,53448347,peru,6210411
2019-03-01,2019-03-31,actual,57772402,peru,0
2019-02-01,2019-02-24,actual,60985301,peru,47407
2018-06-01,2018-06-24,actual,49126245,peru,7801793
2020-11-01,2020-11-22,projection,38427934,peru,0
2018-06-01,2018-06-03,actual,54230134,peru,4571216
2020-08-01,2020-08-09,actual,52326427,peru,10524513
2020-03-01,2020-03-08,actual,47119478,peru,0
2020-07-01,2020-07-26,actual,59549678,peru,12992559
2020-11-01,2020-11-15,actual,56990553,peru,0
2019-08-01,2019-08-18,actual,49712129,peru,7300789
2018-07-01,2018-07-01,actual,59868501,peru,9054874
2018-09-01,2018-09-09,actual,44091358,peru,9339320
2020-06-01,2020-06-28,actual,67186115,peru,16687516
2019-10-01,2019-10-13,actual,52027810,peru,0
2018-08-01,2018-08-05,actual,52948354,peru,17256410
2018-12-01,2018-12-16,actual,50045775,peru,0
2018-08-01,2018-08-26,actual,48011570,peru,12942307
2020-10-01,2020-10-18,actual,55367338,peru,0
2019-10-01,2019-10-27,actual,48468039,peru,0
2019-02-01,2019-02-17,actual,52838523,peru,0
2018-01-01,2018-01-14,actual,52758905,peru,0
2019-06-01,2019-06-09,actual,44060017,peru,11330445
2020-06-01,2020-06-21,actual,65624404,peru,12136375
2020-11-01,2020-11-01,actual,49535249,peru,0
2019-01-01,2019-01-27,actual,59200492,peru,0
2020-03-01,2020-03-15,actual,48039847,peru,50000
2018-12-01,2018-12-02,actual,55202354,peru,0
2020-09-01,2020-09-06,actual,52693480,peru,4314102
2018-01-01,2018-01-28,actual,45299201,peru,0
2019-07-01,2019-07-07,actual,51446909,peru,17764854
2019-01-01,2019-01-13,actual,73115987,peru,0
2019-11-01,2019-11-03,actual,53112275,peru,0
2020-05-01,2020-05-24,actual,51932040,peru,1943716
2018-11-01,2018-11-04,actual,15760324,peru,0
2020-09-01,2020-09-20,actual,45986305,peru,758523
2020-02-01,2020-02-09,actual,29476898,peru,0
2019-05-01,2019-05-19,actual,50595179,peru,4408917
2018-08-01,2018-08-19,actual,56452066,peru,13463791
2020-01-01,2020-01-12,actual,65307572,peru,0
2020-04-01,2020-04-12,actual,24945091,peru,142223
2019-12-01,2019-12-29,actual,33408342,peru,0
2018-10-01,2018-10-14,actual,43609892,peru,142223
2020-01-01,2020-01-26,actual,66647112,peru,0
2020-04-01,2020-04-05,actual,24392863,peru,284446
2018-12-01,2018-12-23,actual,47448337,peru,0
2020-01-01,2020-01-05,actual,32537444,peru,0
2018-05-01,2018-05-13,actual,49634250,peru,142223
2019-03-01,2019-03-10,actual,55687317,peru,0
2019-10-01,2019-10-20,actual,45213563,peru,0
2020-03-01,2020-03-22,actual,54765620,peru,0
2020-08-01,2020-08-02,actual,61589035,peru,13484651
2018-12-01,2018-12-30,actual,33740596,peru,0
2018-09-01,2018-09-02,actual,38516499,peru,12800084
2018-09-01,2018-09-30,actual,39213471,peru,2417794
2020-01-01,2020-01-19,actual,76375629,peru,0
2018-02-01,2018-02-11,actual,39307402,peru,0
2020-06-01,2020-06-07,actual,54322214,peru,8022343
2020-08-01,2020-08-30,actual,48717827,peru,5451887
2020-05-01,2020-05-10,actual,68814562,peru,853338
2020-09-01,2020-09-13,actual,50284383,peru,2370385
2018-02-01,2018-02-25,actual,53018743,peru,0
2020-03-01,2020-03-29,actual,36225538,peru,0
2020-02-01,2020-02-23,actual,60175473,peru,0
2019-05-01,2019-05-05,actual,37778586,peru,1469639
2018-01-01,2018-01-21,actual,54698266,peru,0
2019-09-01,2019-09-15,actual,51760427,peru,663708
2020-07-01,2020-07-12,actual,52258875,peru,15360100
2019-12-01,2019-12-01,actual,49266022,peru,0
2019-01-01,2019-01-06,actual,39644522,peru,0
2019-04-01,2019-04-07,actual,66309565,peru,0
2019-01-01,2019-01-20,actual,73262502,peru,0
2020-12-01,2020-12-06,projection,52612612,peru,0
2019-03-01,2019-03-17,actual,57661257,peru,0
2019-06-01,2019-06-23,actual,43112741,peru,17683079
2019-09-01,2019-09-22,actual,41138734,peru,94815
2020-05-01,2020-05-17,actual,54720342,peru,1280008
2019-12-01,2019-12-22,actual,49600528,peru,0
2020-07-01,2020-07-05,actual,55217288,peru,16634420
2019-11-01,2019-11-17,actual,41304726,peru,0
2020-04-01,2020-04-26,actual,70861471,peru,142223
2018-02-01,2018-02-18,actual,51204346,peru,0
2018-07-01,2018-07-08,actual,54802659,peru,9197097
2020-09-01,2020-09-27,actual,56022215,peru,94815
2020-10-01,2020-10-25,actual,55789244,peru,0
2019-06-01,2019-06-16,actual,43165973,peru,13274161
2018-04-01,2018-04-08,actual,57742874,peru,0
2020-03-01,2020-03-01,actual,56195818,peru,0
2020-12-01,2020-12-27,projection,38422754,peru,0
2018-10-01,2018-10-07,actual,44622910,peru,805931
2018-10-01,2018-10-28,actual,43424770,peru,0
2019-07-01,2019-07-21,actual,51585051,peru,14364539
2019-11-01,2019-11-24,actual,39597532,peru,0
2020-02-01,2020-02-16,actual,50713581,peru,0
2018-05-01,2018-05-06,actual,43454036,peru,331854
2018-03-01,2018-03-04,actual,50628975,peru,0
2019-06-01,2019-06-30,actual,38519597,peru,16166032
2020-05-01,2020-05-03,actual,57343819,peru,426669
2020-12-01,2020-12-20,projection,50563073,peru,0
2018-04-01,2018-04-29,actual,57879711,peru,0
2019-09-01,2019-09-08,actual,44957024,peru,1280008
2020-12-01,2020-12-13,projection,49965178,peru,0
2018-08-01,2018-08-12,actual,56626601,peru,15170470
2020-02-01,2020-02-02,actual,45414983,peru,0
2018-11-01,2018-11-18,actual,44931673,peru,0
2018-09-01,2018-09-16,actual,51398671,peru,6163003
2019-02-01,2019-02-10,actual,39391270,peru,0
2019-08-01,2019-08-04,actual,39624707,peru,11851930
2018-07-01,2018-07-15,actual,52741471,peru,12041561
2020-04-01,2020-04-19,actual,65731766,peru,284446
2018-03-01,2018-03-18,actual,51922869,peru,0
2020-11-01,2020-11-29,projection,46408984,peru,0
2019-09-01,2019-09-29,actual,56281822,peru,0
2019-06-01,2019-06-02,actual,48758242,peru,9955620
2020-08-01,2020-08-16,actual,45333672,peru,8154127
2019-04-01,2019-04-14,actual,71757754,peru,0
2020-08-01,2020-08-23,actual,54176904,peru,6874119
2019-07-01,2019-07-14,actual,54169319,colombia,0
2018-11-01,2018-11-11,actual,7175415,colombia,0
2018-04-01,2018-04-15,actual,65017211,colombia,0
2018-10-01,2018-10-21,actual,41484288,colombia,0
2020-05-01,2020-05-31,actual,51667453,colombia,0
2018-11-01,2018-11-25,actual,70104497,colombia,0
2018-02-01,2018-02-04,actual,47371481,colombia,0
2018-03-01,2018-03-11,actual,52057338,colombia,0
2018-03-01,2018-03-25,actual,45807126,colombia,0
2019-03-01,2019-03-03,actual,56315469,colombia,0
2020-10-01,2020-10-04,actual,52210342,colombia,0
2019-12-01,2019-12-15,actual,48427351,colombia,0
2019-02-01,2019-02-03,actual,45231823,colombia,0
2018-07-01,2018-07-29,actual,49443206,colombia,0
2018-05-01,2018-05-20,actual,54804644,colombia,0
2019-04-01,2019-04-28,actual,43710990,colombia,0
2020-06-01,2020-06-14,actual,64385710,colombia,191326
2019-05-01,2019-05-12,actual,45314468,colombia,0
2019-09-01,2019-09-01,actual,37090495,colombia,0
2019-03-01,2019-03-24,actual,47860338,colombia,0
2019-08-01,2019-08-11,actual,30887574,colombia,0
2018-06-01,2018-06-17,actual,50646896,colombia,0
2018-07-01,2018-07-22,actual,43482853,colombia,0
2019-11-01,2019-11-10,actual,43217649,colombia,0
2019-04-01,2019-04-21,actual,41226066,colombia,0
2018-06-01,2018-06-10,actual,54216347,colombia,0
2018-01-01,2018-01-07,actual,45670156,colombia,0
2019-08-01,2019-08-25,actual,48325702,colombia,0
2018-05-01,2018-05-27,actual,58216425,colombia,0
2020-07-01,2020-07-19,actual,55528282,colombia,191326
2019-10-01,2019-10-06,actual,48828843,colombia,50000
2020-10-01,2020-10-11,actual,56934734,colombia,0
2018-04-01,2018-04-22,actual,66889496,colombia,0
2018-04-01,2018-04-01,actual,39158603,colombia,0
2018-12-01,2018-12-09,actual,55009729,colombia,0
2018-09-01,2018-09-23,actual,49322205,colombia,0
2019-12-01,2019-12-08,actual,55662831,colombia,0
2020-11-01,2020-11-08,actual,42783020,colombia,0
2019-07-01,2019-07-28,actual,53521551,colombia,0
2019-05-01,2019-05-26,actual,53448347,colombia,0
2019-03-01,2019-03-31,actual,57772402,colombia,0
2019-02-01,2019-02-24,actual,60985301,colombia,0
2018-06-01,2018-06-24,actual,49126245,colombia,0
2020-11-01,2020-11-22,projection,38427934,colombia,294317
2018-06-01,2018-06-03,actual,54230134,colombia,0
2020-08-01,2020-08-09,actual,52326427,colombia,139508
2020-03-01,2020-03-08,actual,47119478,colombia,0
2020-07-01,2020-07-26,actual,59549678,colombia,283003
2020-11-01,2020-11-15,actual,56990553,colombia,0
2019-08-01,2019-08-18,actual,49712129,colombia,0
2018-07-01,2018-07-01,actual,59868501,colombia,0
2018-09-01,2018-09-09,actual,44091358,colombia,0
2020-06-01,2020-06-28,actual,67186115,colombia,234188
2019-10-01,2019-10-13,actual,52027810,colombia,0
2018-08-01,2018-08-05,actual,52948354,colombia,0
2018-12-01,2018-12-16,actual,50045775,colombia,0
2018-08-01,2018-08-26,actual,48011570,colombia,0
2020-10-01,2020-10-18,actual,55367338,colombia,0
2019-10-01,2019-10-27,actual,48468039,colombia,0
2019-02-01,2019-02-17,actual,52838523,colombia,0
2018-01-01,2018-01-14,actual,52758905,colombia,0
2019-06-01,2019-06-09,actual,44060017,colombia,0
2020-06-01,2020-06-21,actual,65624404,colombia,187340
2020-11-01,2020-11-01,actual,49535249,colombia,0
2019-01-01,2019-01-27,actual,59200492,colombia,0
2020-03-01,2020-03-15,actual,48039847,colombia,0
2018-12-01,2018-12-02,actual,55202354,colombia,0
2020-09-01,2020-09-06,actual,52693480,colombia,0
2018-01-01,2018-01-28,actual,45299201,colombia,0
2019-07-01,2019-07-07,actual,51446909,colombia,0
2019-01-01,2019-01-13,actual,73115987,colombia,0
2019-11-01,2019-11-03,actual,53112275,colombia,0
2020-05-01,2020-05-24,actual,51932040,colombia,0
2018-11-01,2018-11-04,actual,15760324,colombia,0
2020-09-01,2020-09-20,actual,45986305,colombia,0
2020-02-01,2020-02-09,actual,29476898,colombia,0
2019-05-01,2019-05-19,actual,50595179,colombia,0
2018-08-01,2018-08-19,actual,56452066,colombia,0
2020-01-01,2020-01-12,actual,65307572,colombia,0
2020-04-01,2020-04-12,actual,24945091,colombia,0
2019-12-01,2019-12-29,actual,33408342,colombia,0
2018-10-01,2018-10-14,actual,43609892,colombia,0
2020-01-01,2020-01-26,actual,66647112,colombia,50000
2020-04-01,2020-04-05,actual,24392863,colombia,0
2018-12-01,2018-12-23,actual,47448337,colombia,0
2020-01-01,2020-01-05,actual,32537444,colombia,50000
2018-05-01,2018-05-13,actual,49634250,colombia,0
2019-03-01,2019-03-10,actual,55687317,colombia,0
2019-10-01,2019-10-20,actual,45213563,colombia,0
2020-03-01,2020-03-22,actual,54765620,colombia,0
2020-08-01,2020-08-02,actual,61589035,colombia,334820
2018-12-01,2018-12-30,actual,33740596,colombia,0
2018-09-01,2018-09-02,actual,38516499,colombia,0
2018-09-01,2018-09-30,actual,39213471,colombia,0
2020-01-01,2020-01-19,actual,76375629,colombia,50000
2018-02-01,2018-02-11,actual,39307402,colombia,0
2020-06-01,2020-06-07,actual,54322214,colombia,95663
2020-08-01,2020-08-30,actual,48717827,colombia,128368
2020-05-01,2020-05-10,actual,68814562,colombia,0
2020-09-01,2020-09-13,actual,50284383,colombia,0
2018-02-01,2018-02-25,actual,53018743,colombia,0
2020-03-01,2020-03-29,actual,36225538,colombia,0
2020-02-01,2020-02-23,actual,60175473,colombia,0
2019-05-01,2019-05-05,actual,37778586,colombia,0
2018-01-01,2018-01-21,actual,54698266,colombia,0
2019-09-01,2019-09-15,actual,51760427,colombia,0
2020-07-01,2020-07-12,actual,52258875,colombia,234188
2019-12-01,2019-12-01,actual,49266022,colombia,0
2019-01-01,2019-01-06,actual,39644522,colombia,0
2019-04-01,2019-04-07,actual,66309565,colombia,0
2019-01-01,2019-01-20,actual,73262502,colombia,0
2020-12-01,2020-12-06,projection,52612612,colombia,347228
2019-03-01,2019-03-17,actual,57661257,colombia,0
2019-06-01,2019-06-23,actual,43112741,colombia,0
2019-09-01,2019-09-22,actual,41138734,colombia,0
2020-05-01,2020-05-17,actual,54720342,colombia,0
2019-12-01,2019-12-22,actual,49600528,colombia,0
2020-07-01,2020-07-05,actual,55217288,colombia,186356
2019-11-01,2019-11-17,actual,41304726,colombia,0
2020-04-01,2020-04-26,actual,70861471,colombia,0
2018-02-01,2018-02-18,actual,51204346,colombia,0
2018-07-01,2018-07-08,actual,54802659,colombia,0
2020-09-01,2020-09-27,actual,56022215,colombia,0
2020-10-01,2020-10-25,actual,55789244,colombia,758279
2019-06-01,2019-06-16,actual,43165973,colombia,0
2018-04-01,2018-04-08,actual,57742874,colombia,0
2020-03-01,2020-03-01,actual,56195818,colombia,0
2020-12-01,2020-12-27,projection,38422754,colombia,145505
2018-10-01,2018-10-07,actual,44622910,colombia,0
2018-10-01,2018-10-28,actual,43424770,colombia,0
2019-07-01,2019-07-21,actual,51585051,colombia,0
2019-11-01,2019-11-24,actual,39597532,colombia,0
2020-02-01,2020-02-16,actual,50713581,colombia,0
2018-05-01,2018-05-06,actual,43454036,colombia,0
2018-03-01,2018-03-04,actual,50628975,colombia,0
2019-06-01,2019-06-30,actual,38519597,colombia,0
2020-05-01,2020-05-03,actual,57343819,colombia,0
2020-12-01,2020-12-20,projection,50563073,colombia,244713
2018-04-01,2018-04-29,actual,57879711,colombia,0
2019-09-01,2019-09-08,actual,44957024,colombia,0
2020-12-01,2020-12-13,projection,49965178,colombia,244713
2018-08-01,2018-08-12,actual,56626601,colombia,0
2020-02-01,2020-02-02,actual,45414983,colombia,0
2018-11-01,2018-11-18,actual,44931673,colombia,0
2018-09-01,2018-09-16,actual,51398671,colombia,0
2019-02-01,2019-02-10,actual,39391270,colombia,0
2019-08-01,2019-08-04,actual,39624707,colombia,0
2018-07-01,2018-07-15,actual,52741471,colombia,0
2020-04-01,2020-04-19,actual,65731766,colombia,0
2018-03-01,2018-03-18,actual,51922869,colombia,0
2020-11-01,2020-11-29,projection,46408984,colombia,347228
2019-09-01,2019-09-29,actual,56281822,colombia,0
2019-06-01,2019-06-02,actual,48758242,colombia,0
2020-08-01,2020-08-16,actual,45333672,colombia,239157
2019-04-01,2019-04-14,actual,71757754,colombia,0
2020-08-01,2020-08-23,actual,54176904,colombia,95663
