year_month,status,prod_total_volume,california,chile,mexico,peru,colombia,pcp,tavg,pdsi,phdi,zndx,pmdi,cdd,sp01,sp02,sp03,sp06,sp09,sp12,sp24,tmin,tmax
2019-05-01,actual,50595179,9208998,0,36977263,4408917,0,2.5,58.6,2.76,2.76,3.78,2.76,14,1.91,0.95,0.89,1.17,1.03,0.97,0.04,47,70.3
2018-08-01,actual,56452066,8625095,331267,34031913,13463791,0,0.04,76.4,-2.71,-2.71,-1.66,-2.71,299,-1.35,-0.51,-1.14,0.79,-1.01,-1,0.78,61.8,91
2020-01-01,actual,65307572,319866,177780,64809925,0,0,2.06,45.4,-1.61,-1.61,-2.39,-1.61,0,-0.74,-0.1,-0.36,-0.59,-0.27,0.74,0.18,35.6,55.1
2020-04-01,actual,24945091,3115152,0,21687715,142223,0,1.98,56.6,-2.16,-2.16,0.17,-1.97,14,0.51,0.34,-0.87,-0.82,-1.01,-0.72,-0.07,44.6,68.6
2019-12-01,actual,33408342,0,222755,33185587,0,0,4.87,44.5,-0.91,-0.91,0.76,-0.38,0,0.64,0.18,-0.17,-0.16,0.13,1.16,0.38,36.8,52.2
2018-10-01,actual,43609892,798732,3241640,39427297,142223,0,0.7,60.9,-3.04,-3.04,-1.24,-3.04,45,-0.43,-0.9,-1.12,-1.41,-0.48,-1.01,0.41,48.3,73.5
2020-01-01,actual,66647112,2822485,0,63774627,0,50000,2.06,45.4,-1.61,-1.61,-2.39,-1.61,0,-0.74,-0.1,-0.36,-0.59,-0.27,0.74,0.18,35.6,55.1
2020-04-01,actual,24392863,7933743,0,16174674,284446,0,1.98,56.6,-2.16,-2.16,0.17,-1.97,14,0.51,0.34,-0.87,-0.82,-1.01,-0.72,-0.07,44.6,68.6
2018-12-01,actual,47448337,950,2105644,45341743,0,0,2.38,44.8,-3.06,-3.06,-1.68,-3.06,0,-0.48,-0.26,-0.41,-0.58,-0.54,-0.66,0.27,35.7,53.8
2020-01-01,actual,32537444,37220,159041,32291182,0,50000,2.06,45.4,-1.61,-1.61,-2.39,-1.61,0,-0.74,-0.1,-0.36,-0.59,-0.27,0.74,0.18,35.6,55.1
2018-05-01,actual,49634250,13013238,0,36478789,142223,0,0.66,63,-2.42,-2.42,-0.17,-1.48,35,-0.16,0.35,0.93,-0.92,-0.91,-0.94,0.78,50.1,75.9
2019-03-01,actual,55687317,563806,224208,54899303,0,0,4.05,48.9,2.29,2.29,1.23,2.29,1,0.6,1.56,1.37,0.97,0.9,0.87,-0.04,38.6,59.2
2019-10-01,actual,45213563,0,1689204,43524359,0,0,0.16,58.8,-0.82,1.11,-1.99,-0.17,39,-1.4,-0.88,-0.98,0.3,1.35,0.97,0,44.2,73.3
2020-03-01,actual,54765620,8086208,0,46679412,0,0,3.19,48,-2.47,-2.47,-0.03,-2.42,0,0.2,-1.13,-1.35,-1.19,-1.2,-0.93,-0.06,37.7,58.2
2020-08-01,actual,61589035,9301142,0,38468421,13484651,334820,0.09,79,-1.9,-1.9,-1.31,-1.9,358,-0.76,-1.52,-1.28,0.26,-0.68,-1,0.01,64.4,93.6
2018-12-01,actual,33740596,1800,1856008,31882788,0,0,2.38,44.8,-3.06,-3.06,-1.68,-3.06,0,-0.48,-0.26,-0.41,-0.58,-0.54,-0.66,0.27,35.7,53.8
2018-09-01,actual,38516499,5955763,1833426,17927226,12800084,0,0.06,71.1,-2.93,-2.93,-1.47,-2.93,171,-1.36,-1.95,-1.24,-0.22,-0.38,-1.07,0.77,56.1,86
2018-09-01,actual,39213471,1962416,5315922,29517339,2417794,0,0.06,71.1,-2.93,-2.93,-1.47,-2.93,171,-1.36,-1.95,-1.24,-0.22,-0.38,-1.07,0.77,56.1,86
2020-01-01,actual,76375629,1604707,222755,74498167,0,50000,2.06,45.4,-1.61,-1.61,-2.39,-1.61,0,-0.74,-0.1,-0.36,-0.59,-0.27,0.74,0.18,35.6,55.1
2018-02-01,actual,39307402,3039843,0,36267559,0,0,0.57,46.6,-4.15,-4.15,-4.01,-4.15,0,-1.6,-1.1,-1.98,-1.7,-1.72,-1.5,0.68,34.2,59
2020-06-01,actual,54322214,12247478,0,33956728,8022343,95663,0.15,70.5,-1.48,-1.48,0.06,-0.83,132,-0.56,0.36,0.46,-1.05,-0.97,-0.98,0.02,56.1,84.8
2020-08-01,actual,48717827,8494500,0,34643071,5451887,128368,0.09,79,-1.9,-1.9,-1.31,-1.9,358,-0.76,-1.52,-1.28,0.26,-0.68,-1,0.01,64.4,93.6
2020-05-01,actual,68814562,17353081,0,50608141,853338,0,1.2,64.7,-1.67,-1.67,0.8,-1.09,74,0.65,0.62,0.42,-0.59,-0.91,-1.01,0,51,78.4
2020-09-01,actual,50284383,5945695,50794,41917507,2370385,0,0.04,74.2,-2.27,-2.27,-1.72,-2.27,268,-1.68,-1.67,-1.95,0.03,-1.25,-1.12,0,59.4,89
2018-02-01,actual,53018743,5031685,0,47987058,0,0,0.57,46.6,-4.15,-4.15,-4.01,-4.15,0,-1.6,-1.1,-1.98,-1.7,-1.72,-1.5,0.68,34.2,59
2020-03-01,actual,36225538,8323661,0,27901876,0,0,3.19,48,-2.47,-2.47,-0.03,-2.42,0,0.2,-1.13,-1.35,-1.19,-1.2,-0.93,-0.06,37.7,58.2
2020-02-01,actual,60175473,6454635,0,53720838,0,0,0.21,49.2,-2.74,-2.74,-3.88,-2.74,0,-1.95,-1.9,-0.98,-1.29,-1.39,-0.81,0.16,36.4,62
2019-05-01,actual,37778586,7274131,0,29034816,1469639,0,2.5,58.6,2.76,2.76,3.78,2.76,14,1.91,0.95,0.89,1.17,1.03,0.97,0.04,47,70.3
2018-01-01,actual,54698266,2913663,445127,51339476,0,0,3.33,48.9,-3.13,-3.13,-2.34,-3.13,8,-0.12,-1.22,-0.87,-1.07,-1.22,-0.05,0.81,39.1,58.6
2019-09-01,actual,51760427,934008,2831699,47331012,663708,0,0.61,68.9,-0.17,1.97,0.43,1.53,157,0.74,0.42,0.18,0.74,1.4,1.03,0.03,55.3,82.5
2020-07-01,actual,52258875,11391217,0,25273369,15360100,234188,0.05,76.7,-1.63,-1.63,-0.91,-1.29,254,-1.17,-1.06,0.19,-0.83,-0.8,-0.99,0,61.3,92
2019-12-01,actual,49266022,0,363868,48902153,0,0,4.87,44.5,-0.91,-0.91,0.76,-0.38,0,0.64,0.18,-0.17,-0.16,0.13,1.16,0.38,36.8,52.2
2019-01-01,actual,39644522,0,1111244,38533278,0,0,5.23,46.1,0.23,-2.52,0.69,-2.17,0,0.57,0.09,0.1,-0.14,-0.25,-0.36,-0.35,36.9,55.2
2019-04-01,actual,66309565,7995697,0,58313868,0,0,1.22,58.2,1.67,1.67,-1.16,1.09,22,-0.19,0.37,1.39,0.96,0.79,0.71,-0.21,46.2,70.3
2019-01-01,actual,73262502,35452,681725,72545325,0,0,5.23,46.1,0.23,-2.52,0.69,-2.17,0,0.57,0.09,0.1,-0.14,-0.25,-0.36,-0.35,36.9,55.2
2019-03-01,actual,57661257,1115176,45885,56500196,0,0,4.05,48.9,2.29,2.29,1.23,2.29,1,0.6,1.56,1.37,0.97,0.9,0.87,-0.04,38.6,59.2
2019-06-01,actual,43112741,12526752,0,12902910,17683079,0,0.09,71.2,2.98,2.98,1.51,2.98,135,-0.91,1.63,0.76,1.41,1.03,0.97,0.02,57,85.4
2019-09-01,actual,41138734,717498,3649980,36676441,94815,0,0.61,68.9,-0.17,1.97,0.43,1.53,157,0.74,0.42,0.18,0.74,1.4,1.03,0.03,55.3,82.5
2020-05-01,actual,54720342,14715907,0,38724426,1280008,0,1.2,64.7,-1.67,-1.67,0.8,-1.09,74,0.65,0.62,0.42,-0.59,-0.91,-1.01,0,51,78.4
2019-12-01,actual,49600528,0,177780,49422746,0,0,4.87,44.5,-0.91,-0.91,0.76,-0.38,0,0.64,0.18,-0.17,-0.16,0.13,1.16,0.38,36.8,52.2
2020-07-01,actual,55217288,11780040,0,26616471,16634420,186356,0.05,76.7,-1.63,-1.63,-0.91,-1.29,254,-1.17,-1.06,0.19,-0.83,-0.8,-0.99,0,61.3,92
2019-11-01,actual,41304726,0,89949,41214777,0,0,1.61,53,-1.3,-1.3,-1.68,-1.3,6,-0.43,-1.05,-0.93,-1.25,0.04,0.81,-0.15,40.4,65.6
2020-04-01,actual,70861471,16932573,0,53786674,142223,0,1.98,56.6,-2.16,-2.16,0.17,-1.97,14,0.51,0.34,-0.87,-0.82,-1.01,-0.72,-0.07,44.6,68.6
2018-02-01,actual,51204346,4264449,0,46939897,0,0,0.57,46.6,-4.15,-4.15,-4.01,-4.15,0,-1.6,-1.1,-1.98,-1.7,-1.72,-1.5,0.68,34.2,59
2018-07-01,actual,54802659,11546402,0,34059160,9197097,0,0.22,79.6,-2.41,-2.41,-1.07,-1.9,377,0.55,-0.64,-0.56,-0.17,-0.79,-0.94,0.78,65.1,94
2020-09-01,actual,56022215,5944327,551263,49431809,94815,0,0.04,74.2,-2.27,-2.27,-1.72,-2.27,268,-1.68,-1.67,-1.95,0.03,-1.25,-1.12,0,59.4,89
2020-10-01,actual,55789244,1974640,131219,52925105,0,758279,0.05,66.5,-3.1,-3.1,-3.19,-3.1,131,-1.69,-1.98,-2.11,-1.58,-1.38,-1.17,-0.08,51.7,81.3
2019-06-01,actual,43165973,10904000,0,18987812,13274161,0,0.09,71.2,2.98,2.98,1.51,2.98,135,-0.91,1.63,0.76,1.41,1.03,0.97,0.02,57,85.4
2018-04-01,actual,57742874,10978270,0,46764604,0,0,2.13,57.2,-2.63,-2.63,0.32,-1.65,20,0.62,1.04,-0.06,-0.71,-0.86,-0.98,0.77,44.3,70
2020-03-01,actual,56195818,9785442,0,46410376,0,0,3.19,48,-2.47,-2.47,-0.03,-2.42,0,0.2,-1.13,-1.35,-1.19,-1.2,-0.93,-0.06,37.7,58.2
2018-10-01,actual,44622910,1459548,4141118,38216313,805931,0,0.7,60.9,-3.04,-3.04,-1.24,-3.04,45,-0.43,-0.9,-1.12,-1.41,-0.48,-1.01,0.41,48.3,73.5
2018-10-01,actual,43424770,332800,2480207,40611763,0,0,0.7,60.9,-3.04,-3.04,-1.24,-3.04,45,-0.43,-0.9,-1.12,-1.41,-0.48,-1.01,0.41,48.3,73.5
2019-07-01,actual,51585051,9892498,0,27328014,14364539,0,0.08,75.6,-0.11,2.56,-0.32,2.37,247,-0.75,-1.21,1.57,1.57,1.11,0.95,0.02,61.1,90
2019-11-01,actual,39597532,0,234344,39363186,0,0,1.61,53,-1.3,-1.3,-1.68,-1.3,6,-0.43,-1.05,-0.93,-1.25,0.04,0.81,-0.15,40.4,65.6
2020-02-01,actual,50713581,5257159,0,45456422,0,0,0.21,49.2,-2.74,-2.74,-3.88,-2.74,0,-1.95,-1.9,-0.98,-1.29,-1.39,-0.81,0.16,36.4,62
2018-05-01,actual,43454036,13377497,0,29744685,331854,0,0.66,63,-2.42,-2.42,-0.17,-1.48,35,-0.16,0.35,0.93,-0.92,-0.91,-0.94,0.78,50.1,75.9
2018-03-01,actual,50628975,4863680,0,45765295,0,0,5.12,49,-3.05,-3.05,1.99,-2.23,1,1.03,-0.22,-0.31,-1.05,-1.07,-0.9,0.71,38.2,59.7
2019-06-01,actual,38519597,13700507,0,8653058,16166032,0,0.09,71.2,2.98,2.98,1.51,2.98,135,-0.91,1.63,0.76,1.41,1.03,0.97,0.02,57,85.4
2020-05-01,actual,57343819,17453801,0,39463348,426669,0,1.2,64.7,-1.67,-1.67,0.8,-1.09,74,0.65,0.62,0.42,-0.59,-0.91,-1.01,0,51,78.4
2018-04-01,actual,57879711,16473176,0,41406535,0,0,2.13,57.2,-2.63,-2.63,0.32,-1.65,20,0.62,1.04,-0.06,-0.71,-0.86,-0.98,0.77,44.3,70
2019-09-01,actual,44957024,1099090,2405413,40172513,1280008,0,0.61,68.9,-0.17,1.97,0.43,1.53,157,0.74,0.42,0.18,0.74,1.4,1.03,0.03,55.3,82.5
2018-08-01,actual,56626601,7234836,0,34221295,15170470,0,0.04,76.4,-2.71,-2.71,-1.66,-2.71,299,-1.35,-0.51,-1.14,0.79,-1.01,-1,0.78,61.8,91
2020-02-01,actual,45414983,2704489,0,42710494,0,0,0.21,49.2,-2.74,-2.74,-3.88,-2.74,0,-1.95,-1.9,-0.98,-1.29,-1.39,-0.81,0.16,36.4,62
2018-11-01,actual,44931673,0,3513150,41418523,0,0,2.81,52.6,-2.79,-2.79,-0.2,-2.79,8,0.35,0.03,-0.16,-0.39,0.46,-1.09,0.5,40.7,64.5
2018-09-01,actual,51398671,3782736,6299540,35153392,6163003,0,0.06,71.1,-2.93,-2.93,-1.47,-2.93,171,-1.36,-1.95,-1.24,-0.22,-0.38,-1.07,0.77,56.1,86
2019-02-01,actual,39391270,129957,497035,38764278,0,0,8.57,40.6,2.1,2.1,5.68,2.1,0,1.71,1.42,1.04,0.85,0.77,1.06,-0.23,32.1,49.2
2019-08-01,actual,39624707,5407640,94816,22270321,11851930,0,0.13,76.8,-0.35,2.04,-0.78,1.47,288,-0.42,-0.85,-1.25,0.74,1.1,0.96,0.01,62,91.5
2018-07-01,actual,52741471,13081786,0,27618124,12041561,0,0.22,79.6,-2.41,-2.41,-1.07,-1.9,377,0.55,-0.64,-0.56,-0.17,-0.79,-0.94,0.78,65.1,94
2020-04-01,actual,65731766,15741055,0,49706264,284446,0,1.98,56.6,-2.16,-2.16,0.17,-1.97,14,0.51,0.34,-0.87,-0.82,-1.01,-0.72,-0.07,44.6,68.6
2018-03-01,actual,51922869,4143387,0,47779482,0,0,5.12,49,-3.05,-3.05,1.99,-2.23,1,1.03,-0.22,-0.31,-1.05,-1.07,-0.9,0.71,38.2,59.7
2019-09-01,actual,56281822,611955,3235736,52434131,0,0,0.61,68.9,-0.17,1.97,0.43,1.53,157,0.74,0.42,0.18,0.74,1.4,1.03,0.03,55.3,82.5
2019-06-01,actual,48758242,9115908,0,29686713,9955620,0,0.09,71.2,2.98,2.98,1.51,2.98,135,-0.91,1.63,0.76,1.41,1.03,0.97,0.02,57,85.4
2020-08-01,actual,45333672,8693483,0,28246903,8154127,239157,0.09,79,-1.9,-1.9,-1.31,-1.9,358,-0.76,-1.52,-1.28,0.26,-0.68,-1,0.01,64.4,93.6
2019-04-01,actual,71757754,11103220,0,60654534,0,0,1.22,58.2,1.67,1.67,-1.16,1.09,22,-0.19,0.37,1.39,0.96,0.79,0.71,-0.21,46.2,70.3
2020-08-01,actual,54176904,7873941,0,39333180,6874119,95663,0.09,79,-1.9,-1.9,-1.31,-1.9,358,-0.76,-1.52,-1.28,0.26,-0.68,-1,0.01,64.4,93.6
